sintomas,especialidad
Siento que limitación funcional articular que no pasa.,Traumatología
Se queja de me duele la barriga un poco desde esta mañana.,Medicina General
"Tengo sarpullido que pica mucho, sumado a me salió un lunar raro.",Dermatología
Hay presencia de se me atranca la comida al pasar que no pasa.,Oncología
"No puedo mover la rodilla ni un poquito, acompañado de tengo el cuello tieso por el frenazo.",Traumatología
Ayúdeme con amanecí con los ojos hinchados de inicio súbito.,Nefrología
"Disuria y polaquiuria, sumado a disfunción eréctil.",Urología
Desde ayer tengo se me está cayendo el pelo por parches de inicio súbito.,Dermatología
Tengo dolor testicular agudo constante.,Urología
Desde ayer tengo estoy con calentura y cuerpo cortado desde hace 3 días.,Infectología
Se queja de se cortó feo y sale mucha sangre intermitente.,Emergencias
Siento que me duele full el oído derecho que no pasa.,Otorrinolaringología
Acné nódulo-quístico con dermatitis atópica.,Dermatología
Acude por presentar se me regresa la comida agria hace una semana.,Gastroenterología
Tengo tos de perro con flema y siente me chilla el pecho al respirar.,Neumología
Presento crisis de ansiedad generalizada desde hace 3 días.,Psiquiatría
Hay presencia de ya no veo bien las letras de lejos constante.,Oftalmología
Hay presencia de se rompió la cabeza en la caída intermitente.,Emergencias
"Le dio el ataque y se sacudió, también refiere veo lucecitas antes de que me duela la cabeza.",Neurología
Presenta intolerancia al frío y dice que paso con frío todo el tiempo.,Endocrinología
"Doctor, tengo me ahogo cuando estoy durmiendo intermitente.",Neumología
"Doctor, tengo sudo demasiado sin hacer nada hace una semana.",Endocrinología
Se me hinchó la boca y los ojos y además paso estornudando todo el día.,Alergología
Desde ayer tengo me duelen las coyunturas al despertar constante.,Reumatología
Presento síndrome febril agudo desde esta mañana.,Infectología
"Me chilla el pecho al respirar, también refiere me punza la espalda al respirar.",Neumología
Desde ayer tengo me baja la regla muy fuerte y a deshora constante.,Ginecología
Tengo un descenso que huele mal y siente me baja la regla muy fuerte y a deshora.,Ginecología
Tengo ánimo depresivo persistente intermitente.,Psiquiatría
Siento que intoxicación exógena desde esta mañana.,Emergencias
Ayúdeme con se cortó feo y sale mucha sangre constante.,Emergencias
Tengo pérdida de peso caquectizante desde hace 3 días.,Oncología
Paciente refiere que tengo mucha sed y orino bastante desde hace 3 días.,Endocrinología
Paciente refiere que proteinuria espumosa que no pasa.,Nefrología
Presento dolor poliarticular desde hace 3 días.,Reumatología
Se me hinchó la boca y los ojos con me pica la nariz y los ojos.,Alergología
Presento tengo sangre en las heces que no pasa.,Oncología
Hay presencia de me arde la boca del estómago constante.,Gastroenterología
Presento tengo las piernas hinchadas como tamal desde esta mañana.,Cardiología
Se me está cayendo el pelo por parches y además me salió un lunar raro.,Dermatología
Se queja de no puedo mover la rodilla ni un poquito desde hace 3 días.,Traumatología
Ayúdeme con rigidez articular que no pasa.,Reumatología
"Me duelen los senos antes de la menstruación, acompañado de tengo una picazón allá abajo.",Ginecología
Siento que tengo un descenso que huele mal desde esta mañana.,Ginecología
Desde ayer tengo paso estornudando todo el día desde esta mañana.,Alergología
Indica tener me chilla el pecho al respirar desde esta mañana.,Neumología
Presento tengo una picazón allá abajo constante.,Ginecología
Ayúdeme con dolor poliarticular de inicio súbito.,Reumatología
Se queja de mastalgia cíclica que no pasa.,Ginecología
Siento que leucorrea fétida hace una semana.,Ginecología
Tengo una picazón allá abajo y además me baja la regla muy fuerte y a deshora.,Ginecología
"Tengo la presión por las nubes, sumado a tengo las piernas hinchadas como tamal.",Cardiología
"Paso con frío todo el tiempo, sumado a tengo mucha sed y orino bastante.",Endocrinología
Acude por presentar epistaxis anterior de inicio súbito.,Otorrinolaringología
Tengo la presión por las nubes y siente se me va el aire al subir gradas.,Cardiología
Desde ayer tengo epistaxis anterior hace una semana.,Otorrinolaringología
Ayúdeme con adenopatías generalizadas hace una semana.,Infectología
Presento disfagia progresiva de inicio súbito.,Oncología
Acude por presentar me palpita feo el corazón de inicio súbito.,Cardiología
Indica tener tengo un descenso que huele mal de inicio súbito.,Ginecología
Ideación suicida y además crisis de ansiedad generalizada.,Psiquiatría
Acude por presentar no puedo ni tragar del dolor de garganta de inicio súbito.,Otorrinolaringología
"Disnea paroxística nocturna, también refiere hemoptisis.",Neumología
Desde ayer tengo veo mosquitas volando desde esta mañana.,Oftalmología
Indica tener traumatismo craneoencefálico que no pasa.,Emergencias
Se queja de estoy orinando sangre constante.,Urología
"Doctor, tengo me palpita feo el corazón hace una semana.",Cardiología
"Doctor, tengo se me atranca la comida al pasar intermitente.",Oncología
Se queja de se me regresa la comida agria intermitente.,Gastroenterología
Paciente refiere que hemorragia digestiva oculta de inicio súbito.,Oncología
Estoy amarillo como patito con se me regresa la comida agria.,Gastroenterología
"Crisis de ansiedad generalizada, sumado a ideación suicida.",Psiquiatría
"Cervicalgia post-latigazo, también refiere limitación funcional articular.",Traumatología
"Síncope vasovagal, sumado a hipertensión arterial descontrolada.",Cardiología
Sibilancias espiratorias y siente tos productiva con esputo.,Neumología
"Dolor abdominal inespecífico, sumado a dolor musculoesquelético difuso.",Medicina General
Indica tener prurito vulvar constante.,Ginecología
Me duele la barriga un poco con tengo moquera clara.,Medicina General
Presento siento como una pata de elefante en el pecho desde hace 3 días.,Cardiología
Desde ayer tengo prurito ocular y nasal constante.,Alergología
Acude por presentar me salió un lunar raro de inicio súbito.,Dermatología
Se queja de me hinca el corazón desde hace 3 días.,Cardiología
Me da no puedo mover la rodilla ni un poquito desde hace 3 días.,Traumatología
Manifiesta hematemesis desde esta mañana.,Gastroenterología
Me ahogo cuando estoy durmiendo y siente me chilla el pecho al respirar.,Neumología
Indica tener ictericia marcada que no pasa.,Gastroenterología
Tengo fractura expuesta de inicio súbito.,Traumatología
"Doctor, tengo deformidad articular hace una semana.",Reumatología
Siento que tengo el ojo rojo como tomate constante.,Oftalmología
Dolor testicular agudo con disfunción eréctil.,Urología
Me da tiene una tos que no se le quita desde hace 3 días.,Pediatría
Ayúdeme con me duelen todas las uniones hace una semana.,Reumatología
"Me duele mucho un testículo, sumado a me arde para orinar y voy a cada rato.",Urología
"Todo me da vueltas y me tumba, acompañado de me duele toda la cabeza como si tuviera una vincha.",Neurología
Acude por presentar diaforesis excesiva constante.,Endocrinología
"Doctor, tengo tengo hongos en la piel que no pasa.",Dermatología
Indica tener ideación suicida intermitente.,Psiquiatría
Desde ayer tengo pirexia no cuantificada desde esta mañana.,Pediatría
Presento colitis ulcerosa de inicio súbito.,Gastroenterología
"Disminución de la agudeza visual, acompañado de diplopía.",Oftalmología
Indica tener me tiemblan las manos desde esta mañana.,Endocrinología
"Amanecí con los ojos hinchados, acompañado de me duele la espalda baja a los lados.",Nefrología
"Doctor, tengo tengo la presión por las nubes intermitente.",Cardiología
Paciente refiere que se rompió la cabeza en la caída constante.,Emergencias
"Adenopatías generalizadas, acompañado de fiebre de origen desconocido.",Infectología
Tengo tengo bolas en el cuello y axilas de inicio súbito.,Infectología
Manifiesta otalgia derecha que no pasa.,Otorrinolaringología
Me da veo lucecitas antes de que me duela la cabeza desde hace 3 días.,Neurología
Me da sangrado uterino anormal desde esta mañana.,Ginecología
"No puedo ni tragar del dolor de garganta, acompañado de me quedé sordo de golpe.",Otorrinolaringología
Paciente refiere que me arde para orinar y voy a cada rato de inicio súbito.,Urología
Me cae mal todo lo que como y siente se me regresa la comida agria.,Gastroenterología
Se queja de cefalea tensional holocraneal desde hace 3 días.,Neurología
"Doctor, tengo me baja la regla muy fuerte y a deshora de inicio súbito.",Ginecología
"Cefalea tensional holocraneal, acompañado de parestesias en hemicuerpo.",Neurología
Me duele toda la cabeza como si tuviera una vincha y siente le dio el ataque y se sacudió.,Neurología
Me arde la boca del estómago y siente estoy vomitando sangre.,Gastroenterología
"Me salieron ampollas dolorosas, también refiere mojo la cama de sudor en la noche.",Infectología
Se queja de insomnio de conciliación hace una semana.,Psiquiatría
Paciente refiere que cefalea tensional holocraneal hace una semana.,Neurología
Tengo casi no estoy orinando nada que no pasa.,Nefrología
Manifiesta tengo un nacido en la encía de inicio súbito.,Odontología
Ayúdeme con mojo la cama de sudor en la noche hace una semana.,Infectología
"Doctor, tengo edema angioneurótico que no pasa.",Alergología
"Intolerancia al frío, sumado a temblor distal fino.",Endocrinología
"Me palpita feo el corazón, sumado a me hinca el corazón.",Cardiología
Disfagia progresiva con cambios en hábito intestinal.,Oncología
"Estoy tosiendo sangre, acompañado de me punza la espalda al respirar.",Neumología
Ayúdeme con tengo problemas de potencia sexual que no pasa.,Urología
Siento que proteinuria espumosa desde esta mañana.,Nefrología
Me da tengo sangre en las heces desde hace 3 días.,Oncología
"Astenia y adinamia, acompañado de rinorrea hialina.",Medicina General
Estoy orinando sangre con me duele mucho un testículo.,Urología
Manifiesta me salió un lunar raro hace una semana.,Dermatología
"Me duele la cintura bajito, acompañado de no puedo mover la rodilla ni un poquito.",Traumatología
Ayúdeme con me sangran las encías al cepillarme hace una semana.,Odontología
Acude por presentar cefalea tensional holocraneal desde esta mañana.,Neurología
Presento tengo el colon inflamado intermitente.,Gastroenterología
Se queja de tengo ganas de quitarme la vida que no pasa.,Psiquiatría
Tengo tengo el colon inflamado desde hace 3 días.,Gastroenterología
Tengo me duelen todas las uniones de inicio súbito.,Reumatología
Presento me pica la nariz y los ojos desde esta mañana.,Alergología
Presenta sibilancias espiratorias y dice que me punza la espalda al respirar.,Neumología
Indica tener el nene no para de llorar de inicio súbito.,Pediatría
"Parestesias en hemicuerpo, acompañado de cefalea tensional holocraneal.",Neurología
"Disfunción eréctil, también refiere disuria y polaquiuria.",Urología
Desde ayer tengo me salió alergia por tocar algo constante.,Alergología
Desde ayer tengo intolerancia al frío desde hace 3 días.,Endocrinología
"Me enronché después de tomar la pastilla, sumado a se me hinchó la boca y los ojos.",Alergología
Siento que prurito ocular y nasal desde esta mañana.,Alergología
Manifiesta tengo tos de perro con flema constante.,Neumología
"Tengo el colon inflamado, sumado a me arde la boca del estómago.",Gastroenterología
Tengo hemorragia digestiva oculta hace una semana.,Oncología
"Me duele mucho un testículo, acompañado de estoy orinando sangre.",Urología
Presenta polidipsia y poliuria y dice que estoy engordando sin comer tanto.,Endocrinología
Presento me dio un soponcio y me caí constante.,Cardiología
Tengo crisis convulsiva tónico-clónica que no pasa.,Neurología
Paciente refiere que tengo sangre en las heces constante.,Oncología
Presento diplopía desde esta mañana.,Oftalmología
Se queja de estoy vomitando sangre desde esta mañana.,Gastroenterología
Hay presencia de cefalea tensional holocraneal que no pasa.,Neurología
Me duelen todas las uniones y siente me duelen las coyunturas al despertar.,Reumatología
Siento que tengo el colon inflamado que no pasa.,Gastroenterología
Acude por presentar irritabilidad y llanto constante de inicio súbito.,Pediatría
Siento que dolor en fosa renal de inicio súbito.,Nefrología
Paciente refiere que se me salió el hueso que no pasa.,Traumatología
Acude por presentar prurito vulvar intermitente.,Ginecología
Presenta síndrome febril agudo y dice que tengo una fiebre que no se me va.,Infectología
"Tengo moquera clara, sumado a me duele la barriga un poco.",Medicina General
"Doctor, tengo veo lucecitas antes de que me duela la cabeza desde esta mañana.",Neurología
Acude por presentar veo lucecitas antes de que me duela la cabeza intermitente.,Neurología
Presento me duelen todas las uniones desde hace 3 días.,Reumatología
Desde ayer tengo tengo las piernas hinchadas como tamal desde esta mañana.,Cardiología
Paciente refiere que ideación suicida intermitente.,Psiquiatría
Ánimo depresivo persistente y además insomnio de conciliación.,Psiquiatría
Manifiesta estoy con calentura y cuerpo cortado de inicio súbito.,Infectología
Siento que se me está cayendo el pelo por parches desde esta mañana.,Dermatología
Indica tener diaforesis excesiva que no pasa.,Endocrinología
Acné nódulo-quístico y además micosis cutánea.,Dermatología
Siento que tengo moquera clara desde hace 3 días.,Medicina General
Desde ayer tengo hemoptisis desde esta mañana.,Neumología
Me mareo si muevo la cabeza y siente no puedo ni tragar del dolor de garganta.,Otorrinolaringología
"Quemadura de segundo grado, acompañado de herida cortopunzante profusa.",Emergencias
Hipertensión arterial descontrolada con palpitaciones taquicárdicas.,Cardiología
"Hiperemia conjuntival, sumado a miodesopsias.",Oftalmología
Hay presencia de sibilancias espiratorias intermitente.,Neumología
Paciente refiere que odinofagia intensa de inicio súbito.,Otorrinolaringología
Paciente refiere que me dio un soponcio y me caí intermitente.,Cardiología
Me da me sale sangre de la nariz hace una semana.,Otorrinolaringología
Diplopía con fotofobia.,Oftalmología
"Doctor, tengo tengo bolas en el cuello y axilas desde hace 3 días.",Infectología
Siento que cólico renoureteral de inicio súbito.,Urología
Hay presencia de tengo una fiebre que no se me va que no pasa.,Infectología
"Casi no estoy orinando nada, acompañado de la presión no me baja con nada.",Nefrología
Presento tiene una tos que no se le quita hace una semana.,Pediatría
Acude por presentar disminución de la agudeza visual desde hace 3 días.,Oftalmología
"Hematuria macroscópica, sumado a disfunción eréctil.",Urología
Indica tener veo mosquitas volando hace una semana.,Oftalmología
Ayúdeme con me chilla el pecho al respirar intermitente.,Neumología
"Rinitis alérgica estacional, también refiere prurito ocular y nasal.",Alergología
Acude por presentar tengo un descenso que huele mal de inicio súbito.,Ginecología
Manifiesta se me salió el hueso desde hace 3 días.,Traumatología
Se queja de disminución de la agudeza visual desde esta mañana.,Oftalmología
Paciente refiere que me estoy secando de lo flaco de inicio súbito.,Oncología
Paciente refiere que adenopatías generalizadas constante.,Infectología
Siento que pérdida de peso caquectizante hace una semana.,Oncología
Disnea paroxística nocturna y además tos productiva con esputo.,Neumología
Ayúdeme con tos productiva con esputo desde esta mañana.,Neumología
"Tengo un dolor en el riñón que me dobla, sumado a estoy orinando sangre.",Urología
Hay presencia de dolor testicular agudo desde hace 3 días.,Urología
"Síndrome febril agudo, también refiere sudoración nocturna.",Infectología
Paciente refiere que paso con frío todo el tiempo que no pasa.,Endocrinología
Acude por presentar hipoacusia súbita desde esta mañana.,Otorrinolaringología
Siento que bruxismo intermitente.,Odontología
"Tiene una tos que no se le quita, sumado a le salieron granitos en todo el cuerpo.",Pediatría
Acude por presentar alopecia areata intermitente.,Dermatología
"Doctor, tengo alopecia areata constante.",Dermatología
Hemorragia digestiva oculta con masa palpable no dolorosa.,Oncología
Me da hemoptisis desde hace 3 días.,Neumología
Fenómeno de raynaud y siente deformidad articular.,Reumatología
Ayúdeme con epigastralgia urente hace una semana.,Gastroenterología
"Doctor, tengo paso con frío todo el tiempo intermitente.",Endocrinología
Indica tener me siento muy nervioso y con miedo de inicio súbito.,Psiquiatría
Ayúdeme con masa palpable no dolorosa constante.,Oncología
Me da se rompió la cabeza en la caída constante.,Emergencias
Acude por presentar aumento de peso injustificado de inicio súbito.,Endocrinología
"Tengo el colon inflamado, acompañado de me arde la boca del estómago.",Gastroenterología
Estoy vomitando sangre con tengo el colon inflamado.,Gastroenterología
"Tengo un nacido en la encía, acompañado de me duele la muela horrible.",Odontología
Me arde para orinar y voy a cada rato y siente tengo problemas de potencia sexual.,Urología
Manifiesta tengo el ojo rojo como tomate desde hace 3 días.,Oftalmología
Paciente refiere que mastalgia cíclica constante.,Ginecología
"Tengo una fiebre que no se me va, también refiere estoy con calentura y cuerpo cortado.",Infectología
Hay presencia de me duelen los senos antes de la menstruación desde esta mañana.,Ginecología
Me da me enronché después de tomar la pastilla intermitente.,Alergología
Acude por presentar tengo un dolorcito de cabeza desde esta mañana.,Medicina General
Anafilaxia y siente herida cortopunzante profusa.,Emergencias
Tengo sangre en las heces y además ya no hago del baño como antes.,Oncología
Me duele toda la cabeza como si tuviera una vincha y además siento hormigueo en medio cuerpo.,Neurología
"Doctor, tengo micosis cutánea constante.",Dermatología
Siento hormigueo en medio cuerpo y siente me duele toda la cabeza como si tuviera una vincha.,Neurología
Tengo tengo sangre en las heces hace una semana.,Oncología
Presento intolerancia al frío de inicio súbito.,Endocrinología
Presenta temblor distal fino y dice que sudo demasiado sin hacer nada.,Endocrinología
Desde ayer tengo sudo demasiado sin hacer nada que no pasa.,Endocrinología
Parestesias en hemicuerpo y además migraña con aura.,Neurología
Me da dismenorrea incapacitante hace una semana.,Ginecología
Presento hematemesis intermitente.,Gastroenterología
Siento que me palpita feo el corazón de inicio súbito.,Cardiología
"Doctor, tengo estoy con calentura y cuerpo cortado que no pasa.",Infectología
Acude por presentar tengo un dolor en el riñón que me dobla que no pasa.,Urología
Acude por presentar me duele la espalda baja a los lados hace una semana.,Nefrología
Ayúdeme con micosis cutánea desde esta mañana.,Dermatología
Siento que sibilancias espiratorias intermitente.,Neumología
Me da masa palpable no dolorosa hace una semana.,Oncología
Siento que intolerancia al frío que no pasa.,Endocrinología
Indica tener gingivorragia de inicio súbito.,Odontología
Hay presencia de hipoacusia súbita hace una semana.,Otorrinolaringología
Estoy con calentura y cuerpo cortado con tengo una fiebre que no se me va.,Infectología
Desde ayer tengo sudo demasiado sin hacer nada hace una semana.,Endocrinología
Me arde para orinar y voy a cada rato y además tengo problemas de potencia sexual.,Urología
Manifiesta tengo hongos en la piel que no pasa.,Dermatología
Se queja de rinitis alérgica estacional constante.,Alergología
Me da se quemó con agua hirviendo de inicio súbito.,Emergencias
Me da cefalea leve intermitente.,Medicina General
Acude por presentar edema y equimosis post-traumática que no pasa.,Traumatología
Hemorragia digestiva oculta y siente masa palpable no dolorosa.,Oncología
Se queja de la luz me molesta muchísimo de inicio súbito.,Oftalmología
Acude por presentar tengo morado y soplado después del golpe de inicio súbito.,Traumatología
Siento que cólico renoureteral intermitente.,Urología
"Doctor, tengo me duele la cintura bajito hace una semana.",Traumatología
"Doctor, tengo odontalgia severa que no pasa.",Odontología
Presento tengo un nacido en la encía constante.,Odontología
Desde ayer tengo tengo morado y soplado después del golpe desde hace 3 días.,Traumatología
Ayúdeme con estoy vomitando sangre intermitente.,Gastroenterología
Paciente refiere que estoy engordando sin comer tanto que no pasa.,Endocrinología
Tengo sangre en las heces y siente ya no hago del baño como antes.,Oncología
Hay presencia de me arde la boca del estómago intermitente.,Gastroenterología
"Doctor, tengo dolor testicular agudo hace una semana.",Urología
"Hemoptisis, sumado a tos productiva con esputo.",Neumología
Paciente refiere que palpitaciones taquicárdicas hace una semana.,Cardiología
Desde ayer tengo quemadura de segundo grado constante.,Emergencias
Acude por presentar fenómeno de Raynaud intermitente.,Reumatología
Acude por presentar tengo un dolor en el riñón que me dobla hace una semana.,Urología
"Cambios en hábito intestinal, sumado a pérdida de peso caquectizante.",Oncología
Indica tener tengo moquera clara de inicio súbito.,Medicina General
"Reflujo gastroesofágico, sumado a dispepsia funcional.",Gastroenterología
Presento se me ponen los dedos blancos con el frío que no pasa.,Reumatología
Me hinca el corazón y además me dio un soponcio y me caí.,Cardiología
Siento que me duele mucho un testículo desde hace 3 días.,Urología
"Tengo las piernas hinchadas como tamal, sumado a me palpita feo el corazón.",Cardiología
Paciente refiere que me salió alergia por tocar algo intermitente.,Alergología
Presento estoy engordando sin comer tanto intermitente.,Endocrinología
Desde ayer tengo rechinar los dientes al dormir desde esta mañana.,Odontología
Hay presencia de tengo bolas en el cuello y axilas desde hace 3 días.,Infectología
Manifiesta me siento decaído y sin fuerzas constante.,Medicina General
Acude por presentar me vienen unos cólicos que me tumban hace una semana.,Ginecología
Indica tener oliguria hace una semana.,Nefrología
Me siento una bola dura que no duele y además se me atranca la comida al pasar.,Oncología
Erupción exantemática con intolerancia a la vía oral.,Pediatría
"Doctor, tengo no puedo pegar el ojo en toda la noche intermitente.",Psiquiatría
Paciente refiere que migraña con aura desde hace 3 días.,Neurología
"Doctor, tengo dermatitis de contacto que no pasa.",Alergología
Paso con frío todo el tiempo y siente me tiemblan las manos.,Endocrinología
Ayúdeme con todo lo que come lo vomita constante.,Pediatría
Hay presencia de alopecia areata desde esta mañana.,Dermatología
Ayúdeme con micosis cutánea que no pasa.,Dermatología
Desde ayer tengo me sangran las encías al cepillarme que no pasa.,Odontología
"Doctor, tengo me siento decaído y sin fuerzas de inicio súbito.",Medicina General
Síncope vasovagal y además dolor precordial opresivo.,Cardiología
Acude por presentar herida cortopunzante profusa intermitente.,Emergencias
Me da artralgias matutinas hace una semana.,Reumatología
Presenta tos productiva con esputo y dice que estoy tosiendo sangre.,Neumología
Ayúdeme con pérdida de peso caquectizante de inicio súbito.,Oncología
"Me da no tengo ganas de hacer nada, solo llorar de inicio súbito.",Psiquiatría
Me arde la boca del estómago con me cae mal todo lo que como.,Gastroenterología
"No tengo ganas de hacer nada, solo llorar, sumado a no puedo pegar el ojo en toda la noche.",Psiquiatría
Paciente refiere que me palpita feo el corazón hace una semana.,Cardiología
Presenta diplopía y dice que estoy viendo doble.,Oftalmología
Me da me duele toda la cabeza como si tuviera una vincha hace una semana.,Neurología
"Me duelen las coyunturas al despertar, también refiere me duelen todas las uniones.",Reumatología
Dolor precordial opresivo y además hipertensión arterial descontrolada.,Cardiología
Tengo deformidad articular que no pasa.,Reumatología
Paciente refiere que crisis de ansiedad generalizada intermitente.,Psiquiatría
Siento que me salieron ampollas dolorosas desde esta mañana.,Infectología
Desde ayer tengo colitis ulcerosa de inicio súbito.,Gastroenterología
Indica tener sudoración nocturna de inicio súbito.,Infectología
Desde ayer tengo se me están enchuecando los dedos hace una semana.,Reumatología
Tengo la luz me molesta muchísimo constante.,Oftalmología
Me chilla el pecho al respirar y siente estoy tosiendo sangre.,Neumología
Crisis convulsiva tónico-clónica y siente cefalea tensional holocraneal.,Neurología
"Estoy engordando sin comer tanto, acompañado de sudo demasiado sin hacer nada.",Endocrinología
Gingivorragia y siente absceso periodontal.,Odontología
Síncope vasovagal y siente palpitaciones taquicárdicas.,Cardiología
"Tengo la presión por las nubes, sumado a me hinca el corazón.",Cardiología
Presento paso estornudando todo el día desde hace 3 días.,Alergología
Tengo estoy tosiendo sangre desde hace 3 días.,Neumología
"Ictericia marcada, sumado a dispepsia funcional.",Gastroenterología
Me da pirexia no cuantificada hace una semana.,Pediatría
Se queja de intolerancia al frío desde hace 3 días.,Endocrinología
Se queja de sibilancias espiratorias constante.,Neumología
Paciente refiere que ya no hago del baño como antes desde hace 3 días.,Oncología
Ayúdeme con casi no estoy orinando nada intermitente.,Nefrología
Se queja de me siento una bola dura que no duele desde esta mañana.,Oncología
"Se me hinchó la boca y los ojos, sumado a me enronché después de tomar la pastilla.",Alergología
Tiene una tos que no se le quita y siente todo lo que come lo vomita.,Pediatría
Presento ánimo depresivo persistente que no pasa.,Psiquiatría
Siento que se tomó un veneno constante.,Emergencias
Presento hipertensión resistente que no pasa.,Nefrología
Me mareo si muevo la cabeza y siente me sale sangre de la nariz.,Otorrinolaringología
Desde ayer tengo disnea paroxística nocturna desde hace 3 días.,Neumología
"Doctor, tengo me duele la muela horrible hace una semana.",Odontología
"Reflujo gastroesofágico, también refiere dispepsia funcional.",Gastroenterología
Ayúdeme con tengo una picazón allá abajo de inicio súbito.,Ginecología
"Tiene una tos que no se le quita, también refiere el nene no para de llorar.",Pediatría
"Me cae mal todo lo que como, sumado a estoy aventado.",Gastroenterología
"Edema y equimosis post-traumática, acompañado de algia lumbar mecánica.",Traumatología
Tengo tengo el colon inflamado intermitente.,Gastroenterología
Me sale sangre de la nariz y además me mareo si muevo la cabeza.,Otorrinolaringología
Hay presencia de tengo una picazón allá abajo intermitente.,Ginecología
"Doctor, tengo pérdida de peso caquectizante desde esta mañana.",Oncología
Indica tener tengo un nacido en la encía desde esta mañana.,Odontología
Paciente refiere que se cortó feo y sale mucha sangre intermitente.,Emergencias
La orina sale con mucha espuma y además la presión no me baja con nada.,Nefrología
"Acné nódulo-quístico, también refiere nevus displásico.",Dermatología
"Tengo mal aliento, también refiere tengo un nacido en la encía.",Odontología
Tengo estoy viendo doble desde hace 3 días.,Oftalmología
"Traumatismo craneoencefálico, acompañado de herida cortopunzante profusa.",Emergencias
Ayúdeme con se rompió la cabeza en la caída desde hace 3 días.,Emergencias
Desde ayer tengo todo me da vueltas y me tumba que no pasa.,Neurología
Desde ayer tengo distensión abdominal desde hace 3 días.,Gastroenterología
Fenómeno de raynaud y además rigidez articular.,Reumatología
"Hemorragia digestiva oculta, acompañado de masa palpable no dolorosa.",Oncología
Me da me mareo si muevo la cabeza constante.,Otorrinolaringología
Indica tener limitación funcional articular que no pasa.,Traumatología
Se me salió el hueso con tengo morado y soplado después del golpe.,Traumatología
Tengo el colon inflamado y además se me regresa la comida agria.,Gastroenterología
Hay presencia de dolor testicular agudo intermitente.,Urología
Me da parestesias en hemicuerpo desde esta mañana.,Neurología
Se queja de diaforesis excesiva constante.,Endocrinología
Acude por presentar temblor distal fino intermitente.,Endocrinología
Traumatismo craneoencefálico y además anafilaxia.,Emergencias
Siento que erupción exantemática de inicio súbito.,Pediatría
Hay presencia de me arde la boca del estómago de inicio súbito.,Gastroenterología
Manifiesta edema periorbitario hace una semana.,Nefrología
Se queja de me arde la boca del estómago hace una semana.,Gastroenterología
Epistaxis anterior con odinofagia intensa.,Otorrinolaringología
"Bruxismo, sumado a halitosis.",Odontología
Se queja de no puedo ni tragar del dolor de garganta desde esta mañana.,Otorrinolaringología
Ayúdeme con tengo mucha sed y orino bastante constante.,Endocrinología
Me da artralgias matutinas constante.,Reumatología
Acude por presentar intolerancia a la vía oral desde esta mañana.,Pediatría
Me da temblor distal fino que no pasa.,Endocrinología
Cefalea leve y además dolor musculoesquelético difuso.,Medicina General
Manifiesta la luz me molesta muchísimo hace una semana.,Oftalmología
Manifiesta angina de pecho estable de inicio súbito.,Cardiología
Paciente refiere que miodesopsias constante.,Oftalmología
Tengo problemas de potencia sexual con tengo un dolor en el riñón que me dobla.,Urología
"Intolerancia al frío, también refiere diaforesis excesiva.",Endocrinología
Se queja de dismenorrea incapacitante que no pasa.,Ginecología
Indica tener disminución de la agudeza visual desde esta mañana.,Oftalmología
Paciente refiere que me duele mucho un testículo constante.,Urología
Estoy engordando sin comer tanto y siente sudo demasiado sin hacer nada.,Endocrinología
Tengo me mareo si muevo la cabeza constante.,Otorrinolaringología
Anafilaxia con herida cortopunzante profusa.,Emergencias
Desde ayer tengo me ahogo cuando estoy durmiendo intermitente.,Neumología
Presento distensión abdominal intermitente.,Gastroenterología
Disuria y polaquiuria y siente dolor testicular agudo.,Urología
"Herida cortopunzante profusa, acompañado de traumatismo craneoencefálico.",Emergencias
Hay presencia de síncope vasovagal de inicio súbito.,Cardiología
Ayúdeme con prurito ocular y nasal desde hace 3 días.,Alergología
Tengo pirexia no cuantificada que no pasa.,Pediatría
Hay presencia de dolor precordial opresivo desde esta mañana.,Cardiología
Ayúdeme con me sale sangre de la nariz que no pasa.,Otorrinolaringología
Desde ayer tengo alopecia areata de inicio súbito.,Dermatología
Siento que me enronché después de tomar la pastilla hace una semana.,Alergología
Hay presencia de me duelen todas las uniones desde esta mañana.,Reumatología
Presento astenia y adinamia hace una semana.,Medicina General
Me siento una bola dura que no duele y además me estoy secando de lo flaco.,Oncología
Edema angioneurótico y además dermatitis de contacto.,Alergología
"Vértigo periférico, sumado a cefalea tensional holocraneal.",Neurología
Traumatismo craneoencefálico con herida cortopunzante profusa.,Emergencias
Hay presencia de crisis de ansiedad generalizada de inicio súbito.,Psiquiatría
Me siento una bola dura que no duele con se me atranca la comida al pasar.,Oncología
Me da veo mosquitas volando de inicio súbito.,Oftalmología
Acude por presentar fractura expuesta desde esta mañana.,Traumatología
Acude por presentar estoy aventado intermitente.,Gastroenterología
Se queja de hematemesis desde esta mañana.,Gastroenterología
"Tengo el colon inflamado, acompañado de estoy amarillo como patito.",Gastroenterología
Siento que proteinuria espumosa intermitente.,Nefrología
Me duele la muela horrible con tengo un nacido en la encía.,Odontología
Manifiesta algia lumbar mecánica que no pasa.,Traumatología
Me salió alergia por tocar algo y además paso estornudando todo el día.,Alergología
Desde ayer tengo me siento decaído y sin fuerzas constante.,Medicina General
Paciente refiere que me duele mucho un testículo hace una semana.,Urología
Paciente refiere que adenopatías generalizadas desde hace 3 días.,Infectología
Se queja de rechinar los dientes al dormir intermitente.,Odontología
